Date,Open,High,Low,Close,Adj Close,Volume
31.12.2013,184.0700073,184.6900024,183.9299927,184.6900024,162.482605,86119900
2.01.2014,183.9799957,184.0700073,182.4799957,182.9199982,160.9253998,119636900
3.01.2014,,183.6000061,182.6300049,182.8899994,160.8989716,81390600
6.01.2014,183.4900055,183.5599976,182.0800018,182.3600006,160.4326935,108028200
7.01.2014,183.0899963,183.7899933,182.9499969,183.4799957,161.4180603,86144200
8.01.2014,183.4499969,183.8300018,182.8899994,183.5200043,161.4532776,96582300
9.01.2014,184.1100006,184.1300049,182.8000031,183.6399994,161.5588379,90683400
10.01.2014,183.9499969,184.2200012,183.0099945,184.1399994,161.9986725,102026400
13.01.2014,,184.1799927,181.3399963,11.6900024,159.8433075,149892000
14.01.2014,182.2899933,183.7700043,181.9499969,183.6699982,161.5852356,105016100
15.01.2014,184.1000061,184.9400024,183.7100067,184.6600037,162.4561768,98525800
16.01.2014,184.2799988,184.6600037,183.8300018,184.4199982,162.2450256,72290600
17.01.2014,184.1000061,184.4499969,183.3200073,183.6399994,161.5588379,107848700
21.01.2014,184.6999969,184.7700043,183.0500031,184.1799927,162.0339355,88621200
22.01.2014,184.4900055,184.5700073,183.9100037,184.3000031,162.1394958,61270900
23.01.2014,,183.3999939,181.8200073,182.7899933,160.8110352,132496900
24.01.2014,181.6000061,181.6600037,178.8300018,178.8899994,157.3800049,208677100
27.01.2014,179.0599976,179.5200043,177.1199951,178.0099945,156.6057892,180843100
28.01.2014,178.1399994,179.3000031,178.1199951,179.0700073,157.5383301,110463200
29.01.2014,177.5800018,178.5500031,176.8800049,177.3500061,156.0251465,216597300
30.01.2014,178.8300018,179.8099976,178.2599945,179.2299957,157.6791229,118938100
31.01.2014,177.0099945,179.2899933,176.9199982,,156.7553253,194677900
3.02.2014,177.9700012,178.3699951,173.8300018,174.1699982,153.2275238,254837100
4.02.2014,174.9499969,175.8399963,174.1100006,175.3899994,154.3007965,165012400
5.02.2014,174.7799988,175.5599976,173.7100067,175.1699982,154.1072845,164230500
6.02.2014,175.5800018,177.4799957,175.2200012,177.4799957,156.1394806,132877600
7.02.2014,178.3099976,179.8699951,177.7299957,179.6799927,158.0749817,170787200
10.02.2014,179.6999969,180.0700073,179.2100067,180.0099945,158.3652649,92218800
11.02.2014,180.1600037,182.4400024,180.0399933,181.9799957,160.0984497,117814100
12.02.2014,182.25,182.8300018,181.7100067,182.0700073,160.1776123,94717700
13.02.2014,180.8399963,183.1999969,180.8300018,183.0099945,161.0045471,100542200
14.02.2014,182.8399963,184.3600006,182.6699982,184.0200043,161.8931732,96498400
